bus,index_carrier,carrier,p_nom,e_nom,efficiency,country,unit,open_tyndp_type
BA00,gas-ocgt,gas,0.0,0.0,1.0,BA,MW,
BA00,lignite,lignite,1748.0,0.0,1.0,BA,MW,
BA00,lignite-ccs,lignite,0.0,0.0,1.0,BA,MW,
BA00,nuclear,uranium,0.0,0.0,1.0,BA,MW,
BA00,oil-heavy,oil-heavy,0.0,0.0,1.0,BA,MW,
BA00,oil-light,oil-light,0.0,0.0,1.0,BA,MW,
BA00,oil-shale,oil-shale,0.0,0.0,1.0,BA,MW,
BE00,coal,coal,354.4,0.0,1.0,BE,MW,
BE00,coal-ccs,coal,0.0,0.0,1.0,BE,MW,
BE00,gas-ccgt,gas,3507.1,0.0,1.0,BE,MW,
BE00,gas-ccgt-ccs,gas,0.0,0.0,1.0,BE,MW,
BE00,gas-conv,gas,871.0,0.0,1.0,BE,MW,
BE00,gas-ocgt,gas,244.0,0.0,1.0,BE,MW,
BE00,lignite,lignite,0.0,0.0,1.0,BE,MW,
BE00,lignite-ccs,lignite,0.0,0.0,1.0,BE,MW,
BE00,nuclear,uranium,2077.0,0.0,1.0,BE,MW,
BE00,oil-heavy,oil-heavy,140.0,0.0,1.0,BE,MW,
BE00,oil-light,oil-light,0.0,0.0,1.0,BE,MW,
BE00,oil-shale,oil-shale,0.0,0.0,1.0,BE,MW,
BG00,coal,coal,0.0,0.0,1.0,BG,MW,
BG00,coal-ccs,coal,0.0,0.0,1.0,BG,MW,
BG00,gas-ccgt,gas,1088.0,0.0,1.0,BG,MW,
BG00,gas-ccgt-ccs,gas,0.0,0.0,1.0,BG,MW,
BG00,gas-conv,gas,968.0,0.0,1.0,BG,MW,
BG00,gas-ocgt,gas,20.0,0.0,1.0,BG,MW,
BG00,lignite,lignite,2504.0,0.0,1.0,BG,MW,
BG00,lignite-ccs,lignite,0.0,0.0,1.0,BG,MW,
BG00,nuclear,uranium,2000.0,0.0,1.0,BG,MW,
BG00,oil-heavy,oil-heavy,0.0,0.0,1.0,BG,MW,
BG00,oil-light,oil-light,0.0,0.0,1.0,BG,MW,
BG00,oil-shale,oil-shale,0.0,0.0,1.0,BG,MW,
CH00,coal,coal,0.0,0.0,1.0,CH,MW,
CH00,coal-ccs,coal,0.0,0.0,1.0,CH,MW,
CH00,gas-ccgt,gas,0.0,0.0,1.0,CH,MW,
CH00,gas-ccgt-ccs,gas,0.0,0.0,1.0,CH,MW,
CH00,gas-conv,gas,0.0,0.0,1.0,CH,MW,
CH00,gas-ocgt,gas,0.0,0.0,1.0,CH,MW,
CH00,lignite,lignite,0.0,0.0,1.0,CH,MW,
CH00,lignite-ccs,lignite,0.0,0.0,1.0,CH,MW,
CH00,nuclear,uranium,1190.0,0.0,1.0,CH,MW,
CH00,oil-heavy,oil-heavy,0.0,0.0,1.0,CH,MW,
CH00,oil-light,oil-light,0.0,0.0,1.0,CH,MW,
CH00,oil-shale,oil-shale,0.0,0.0,1.0,CH,MW,
CY00,coal,coal,0.0,0.0,1.0,CY,MW,
CY00,coal-ccs,coal,0.0,0.0,1.0,CY,MW,
CY00,gas-ccgt,gas,859.3,0.0,1.0,CY,MW,
CY00,gas-ccgt-ccs,gas,0.0,0.0,1.0,CY,MW,
CY00,gas-conv,gas,463.58,0.0,1.0,CY,MW,
CY00,gas-ocgt,gas,0.0,0.0,1.0,CY,MW,
CY00,lignite,lignite,0.0,0.0,1.0,CY,MW,
CY00,lignite-ccs,lignite,0.0,0.0,1.0,CY,MW,
CY00,nuclear,uranium,0.0,0.0,1.0,CY,MW,
CY00,oil-heavy,oil-heavy,97.8,0.0,1.0,CY,MW,
CY00,oil-light,oil-light,187.5,0.0,1.0,CY,MW,
CY00,oil-shale,oil-shale,0.0,0.0,1.0,CY,MW,
CZ00,coal,coal,45.0,0.0,1.0,CZ,MW,
CZ00,coal-ccs,coal,0.0,0.0,1.0,CZ,MW,
CZ00,gas-ccgt,gas,2356.4,0.0,1.0,CZ,MW,
CZ00,gas-ccgt-ccs,gas,0.0,0.0,1.0,CZ,MW,
CZ00,gas-conv,gas,0.0,0.0,1.0,CZ,MW,
CZ00,gas-ocgt,gas,131.1,0.0,1.0,CZ,MW,
CZ00,lignite,lignite,4745.800000000002,0.0,1.0,CZ,MW,
CZ00,lignite-ccs,lignite,0.0,0.0,1.0,CZ,MW,
CZ00,nuclear,uranium,4047.2,0.0,1.0,CZ,MW,
CZ00,oil-heavy,oil-heavy,0.0,0.0,1.0,CZ,MW,
CZ00,oil-light,oil-light,0.0,0.0,1.0,CZ,MW,
CZ00,oil-shale,oil-shale,0.0,0.0,1.0,CZ,MW,
DE00,coal,coal,0.0,0.0,1.0,DE,MW,
DE00,coal-ccs,coal,0.0,0.0,1.0,DE,MW,
DE00,gas-ccgt,gas,22245.864922839508,0.0,1.0,DE,MW,
DE00,gas-ccgt-ccs,gas,0.0,0.0,1.0,DE,MW,
DE00,gas-conv,gas,1054.767,0.0,1.0,DE,MW,
DE00,gas-ocgt,gas,2399.1059999999993,0.0,1.0,DE,MW,
DE00,lignite,lignite,0.0,0.0,1.0,DE,MW,
DE00,lignite-ccs,lignite,0.0,0.0,1.0,DE,MW,
DE00,nuclear,uranium,0.0,0.0,1.0,DE,MW,
DE00,oil-heavy,oil-heavy,0.0,0.0,1.0,DE,MW,
DE00,oil-light,oil-light,1585.33,0.0,1.0,DE,MW,
DE00,oil-shale,oil-shale,0.0,0.0,1.0,DE,MW,
DKE1,coal,coal,1165.52,0.0,1.0,DK,MW,
DKE1,coal-ccs,coal,0.0,0.0,1.0,DK,MW,
DKE1,gas-ccgt,gas,57.752,0.0,1.0,DK,MW,
DKE1,gas-ccgt-ccs,gas,0.0,0.0,1.0,DK,MW,
DKE1,gas-conv,gas,0.0,0.0,1.0,DK,MW,
DKE1,gas-ocgt,gas,229.5992222229999,0.0,1.0,DK,MW,
DKE1,lignite,lignite,0.0,0.0,1.0,DK,MW,
DKE1,lignite-ccs,lignite,0.0,0.0,1.0,DK,MW,
DKE1,nuclear,uranium,0.0,0.0,1.0,DK,MW,
DKE1,oil-heavy,oil-heavy,65.1,0.0,1.0,DK,MW,
DKE1,oil-light,oil-light,531.0,0.0,1.0,DK,MW,
DKE1,oil-shale,oil-shale,0.0,0.0,1.0,DK,MW,
DKW1,coal,coal,778.066343156,0.0,1.0,DK,MW,
DKW1,coal-ccs,coal,0.0,0.0,1.0,DK,MW,
DKW1,gas-ccgt,gas,101.5,0.0,1.0,DK,MW,
DKW1,gas-ccgt-ccs,gas,0.0,0.0,1.0,DK,MW,
DKW1,gas-conv,gas,487.12600000000003,0.0,1.0,DK,MW,
DKW1,gas-ocgt,gas,647.422583079999,0.0,1.0,DK,MW,
DKW1,lignite,lignite,0.0,0.0,1.0,DK,MW,
DKW1,lignite-ccs,lignite,0.0,0.0,1.0,DK,MW,
DKW1,nuclear,uranium,0.0,0.0,1.0,DK,MW,
DKW1,oil-heavy,oil-heavy,0.0,0.0,1.0,DK,MW,
DKW1,oil-light,oil-light,165.8,0.0,1.0,DK,MW,
DKW1,oil-shale,oil-shale,0.0,0.0,1.0,DK,MW,
EE00,coal,coal,0.0,0.0,1.0,EE,MW,
EE00,coal-ccs,coal,0.0,0.0,1.0,EE,MW,
EE00,gas-ccgt,gas,250.0,0.0,1.0,EE,MW,
EE00,gas-ccgt-ccs,gas,0.0,0.0,1.0,EE,MW,
EE00,gas-conv,gas,0.0,0.0,1.0,EE,MW,
EE00,gas-ocgt,gas,0.0,0.0,1.0,EE,MW,
EE00,lignite,lignite,0.0,0.0,1.0,EE,MW,
EE00,lignite-ccs,lignite,0.0,0.0,1.0,EE,MW,
EE00,nuclear,uranium,0.0,0.0,1.0,EE,MW,
EE00,oil-heavy,oil-heavy,0.0,0.0,1.0,EE,MW,
EE00,oil-light,oil-light,0.0,0.0,1.0,EE,MW,
EE00,oil-shale,oil-shale,831.0,0.0,1.0,EE,MW,
ES00,coal,coal,0.0,0.0,1.0,ES,MW,
ES00,coal-ccs,coal,0.0,0.0,1.0,ES,MW,
ES00,gas-ccgt,gas,20517.56,0.0,1.0,ES,MW,
ES00,gas-ccgt-ccs,gas,0.0,0.0,1.0,ES,MW,
ES00,gas-conv,gas,0.0,0.0,1.0,ES,MW,
ES00,gas-ocgt,gas,0.0,0.0,1.0,ES,MW,
ES00,lignite,lignite,0.0,0.0,1.0,ES,MW,
ES00,lignite-ccs,lignite,0.0,0.0,1.0,ES,MW,
ES00,nuclear,uranium,5100.36,0.0,1.0,ES,MW,
ES00,oil-heavy,oil-heavy,0.0,0.0,1.0,ES,MW,
ES00,oil-light,oil-light,0.0,0.0,1.0,ES,MW,
ES00,oil-shale,oil-shale,0.0,0.0,1.0,ES,MW,
FI00,coal,coal,1196.0,0.0,1.0,FI,MW,
FI00,coal-ccs,coal,0.0,0.0,1.0,FI,MW,
FI00,gas-ccgt,gas,919.0,0.0,1.0,FI,MW,
FI00,gas-ccgt-ccs,gas,0.0,0.0,1.0,FI,MW,
FI00,gas-conv,gas,0.0,0.0,1.0,FI,MW,
FI00,gas-ocgt,gas,125.0,0.0,1.0,FI,MW,
FI00,lignite,lignite,0.0,0.0,1.0,FI,MW,
FI00,lignite-ccs,lignite,0.0,0.0,1.0,FI,MW,
FI00,nuclear,uranium,4394.0,0.0,1.0,FI,MW,
FI00,oil-heavy,oil-heavy,0.0,0.0,1.0,FI,MW,
FI00,oil-light,oil-light,0.0,0.0,1.0,FI,MW,
FI00,oil-shale,oil-shale,0.0,0.0,1.0,FI,MW,
FR00,coal,coal,0.0,0.0,1.0,FR,MW,
FR00,coal-ccs,coal,0.0,0.0,1.0,FR,MW,
FR00,gas-ccgt,gas,6553.0,0.0,1.0,FR,MW,
FR00,gas-ccgt-ccs,gas,0.0,0.0,1.0,FR,MW,
FR00,gas-conv,gas,0.0,0.0,1.0,FR,MW,
FR00,gas-ocgt,gas,636.0,0.0,1.0,FR,MW,
FR00,lignite,lignite,0.0,0.0,1.0,FR,MW,
FR00,lignite-ccs,lignite,0.0,0.0,1.0,FR,MW,
FR00,nuclear,uranium,61761.0,0.0,1.0,FR,MW,
FR00,oil-heavy,oil-heavy,0.0,0.0,1.0,FR,MW,
FR00,oil-light,oil-light,971.0,0.0,1.0,FR,MW,
FR00,oil-shale,oil-shale,0.0,0.0,1.0,FR,MW,
FR15,coal,coal,0.0,0.0,1.0,FR,MW,
FR15,coal-ccs,coal,0.0,0.0,1.0,FR,MW,
FR15,gas-ccgt,gas,0.0,0.0,1.0,FR,MW,
FR15,gas-ccgt-ccs,gas,0.0,0.0,1.0,FR,MW,
FR15,gas-conv,gas,0.0,0.0,1.0,FR,MW,
FR15,gas-ocgt,gas,0.0,0.0,1.0,FR,MW,
FR15,lignite,lignite,0.0,0.0,1.0,FR,MW,
FR15,lignite-ccs,lignite,0.0,0.0,1.0,FR,MW,
FR15,nuclear,uranium,0.0,0.0,1.0,FR,MW,
FR15,oil-heavy,oil-heavy,0.0,0.0,1.0,FR,MW,
FR15,oil-light,oil-light,284.0,0.0,1.0,FR,MW,
FR15,oil-shale,oil-shale,0.0,0.0,1.0,FR,MW,
GB00,coal,coal,0.0,0.0,1.0,GB,MW,
GB00,coal-ccs,coal,0.0,0.0,1.0,GB,MW,
GB00,gas-ccgt,gas,21988.454669,0.0,1.0,GB,MW,
GB00,gas-ccgt-ccs,gas,3270.0,0.0,1.0,GB,MW,
GB00,gas-conv,gas,7510.8796755,0.0,1.0,GB,MW,
GB00,gas-ocgt,gas,2444.89,0.0,1.0,GB,MW,
GB00,lignite,lignite,0.0,0.0,1.0,GB,MW,
GB00,lignite-ccs,lignite,0.0,0.0,1.0,GB,MW,
GB00,nuclear,uranium,5510.0,0.0,1.0,GB,MW,
GB00,oil-heavy,oil-heavy,275.4616257,0.0,1.0,GB,MW,
GB00,oil-light,oil-light,0.0,0.0,1.0,GB,MW,
GB00,oil-shale,oil-shale,0.0,0.0,1.0,GB,MW,
GBNI,coal,coal,0.0,0.0,1.0,GB,MW,
GBNI,coal-ccs,coal,0.0,0.0,1.0,GB,MW,
GBNI,gas-ccgt,gas,1977.0,0.0,1.0,GB,MW,
GBNI,gas-ccgt-ccs,gas,0.0,0.0,1.0,GB,MW,
GBNI,gas-conv,gas,0.0,0.0,1.0,GB,MW,
GBNI,gas-ocgt,gas,12.0,0.0,1.0,GB,MW,
GBNI,lignite,lignite,18.0,0.0,1.0,GB,MW,
GBNI,lignite-ccs,lignite,0.0,0.0,1.0,GB,MW,
GBNI,nuclear,uranium,0.0,0.0,1.0,GB,MW,
GBNI,oil-heavy,oil-heavy,0.0,0.0,1.0,GB,MW,
GBNI,oil-light,oil-light,389.0,0.0,1.0,GB,MW,
GBNI,oil-shale,oil-shale,0.0,0.0,1.0,GB,MW,
GR00,coal,coal,0.0,0.0,1.0,GR,MW,
GR00,coal-ccs,coal,0.0,0.0,1.0,GR,MW,
GR00,gas-ccgt,gas,7539.6,0.0,1.0,GR,MW,
GR00,gas-ccgt-ccs,gas,0.0,0.0,1.0,GR,MW,
GR00,gas-conv,gas,0.0,0.0,1.0,GR,MW,
GR00,gas-ocgt,gas,147.762,0.0,1.0,GR,MW,
GR00,lignite,lignite,0.0,0.0,1.0,GR,MW,
GR00,lignite-ccs,lignite,0.0,0.0,1.0,GR,MW,
GR00,nuclear,uranium,0.0,0.0,1.0,GR,MW,
GR00,oil-heavy,oil-heavy,0.0,0.0,1.0,GR,MW,
GR00,oil-light,oil-light,0.0,0.0,1.0,GR,MW,
GR00,oil-shale,oil-shale,0.0,0.0,1.0,GR,MW,
GR03,coal,coal,0.0,0.0,1.0,GR,MW,
GR03,coal-ccs,coal,0.0,0.0,1.0,GR,MW,
GR03,gas-ccgt,gas,0.0,0.0,1.0,GR,MW,
GR03,gas-ccgt-ccs,gas,0.0,0.0,1.0,GR,MW,
GR03,gas-conv,gas,0.0,0.0,1.0,GR,MW,
GR03,gas-ocgt,gas,0.0,0.0,1.0,GR,MW,
GR03,lignite,lignite,0.0,0.0,1.0,GR,MW,
GR03,lignite-ccs,lignite,0.0,0.0,1.0,GR,MW,
GR03,nuclear,uranium,0.0,0.0,1.0,GR,MW,
GR03,oil-heavy,oil-heavy,98.0,0.0,1.0,GR,MW,
GR03,oil-light,oil-light,310.0,0.0,1.0,GR,MW,
GR03,oil-shale,oil-shale,0.0,0.0,1.0,GR,MW,
HR00,coal,coal,290.0,0.0,1.0,HR,MW,
HR00,coal-ccs,coal,0.0,0.0,1.0,HR,MW,
HR00,gas-ccgt,gas,747.0,0.0,1.0,HR,MW,
HR00,gas-ccgt-ccs,gas,0.0,0.0,1.0,HR,MW,
HR00,gas-conv,gas,330.0,0.0,1.0,HR,MW,
HR00,gas-ocgt,gas,0.0,0.0,1.0,HR,MW,
HR00,lignite,lignite,0.0,0.0,1.0,HR,MW,
HR00,lignite-ccs,lignite,0.0,0.0,1.0,HR,MW,
HR00,nuclear,uranium,0.0,0.0,1.0,HR,MW,
HR00,oil-heavy,oil-heavy,303.0,0.0,1.0,HR,MW,
HR00,oil-light,oil-light,0.0,0.0,1.0,HR,MW,
HR00,oil-shale,oil-shale,0.0,0.0,1.0,HR,MW,
HU00,coal,coal,102.1,0.0,1.0,HU,MW,
HU00,coal-ccs,coal,0.0,0.0,1.0,HU,MW,
HU00,gas-ccgt,gas,3445.4,0.0,1.0,HU,MW,
HU00,gas-ccgt-ccs,gas,0.0,0.0,1.0,HU,MW,
HU00,gas-conv,gas,0.0,0.0,1.0,HU,MW,
HU00,gas-ocgt,gas,268.0,0.0,1.0,HU,MW,
HU00,lignite,lignite,0.0,0.0,1.0,HU,MW,
HU00,lignite-ccs,lignite,0.0,0.0,1.0,HU,MW,
HU00,nuclear,uranium,3097.0,0.0,1.0,HU,MW,
HU00,oil-heavy,oil-heavy,0.0,0.0,1.0,HU,MW,
HU00,oil-light,oil-light,495.0,0.0,1.0,HU,MW,
HU00,oil-shale,oil-shale,0.0,0.0,1.0,HU,MW,
IE00,coal,coal,0.0,0.0,1.0,IE,MW,
IE00,coal-ccs,coal,0.0,0.0,1.0,IE,MW,
IE00,gas-ccgt,gas,5702.35652173913,0.0,1.0,IE,MW,
IE00,gas-ccgt-ccs,gas,0.0,0.0,1.0,IE,MW,
IE00,gas-conv,gas,0.0,0.0,1.0,IE,MW,
IE00,gas-ocgt,gas,116.0,0.0,1.0,IE,MW,
IE00,lignite,lignite,185.1,0.0,1.0,IE,MW,
IE00,lignite-ccs,lignite,0.0,0.0,1.0,IE,MW,
IE00,nuclear,uranium,0.0,0.0,1.0,IE,MW,
IE00,oil-heavy,oil-heavy,0.0,0.0,1.0,IE,MW,
IE00,oil-light,oil-light,188.0,0.0,1.0,IE,MW,
IE00,oil-shale,oil-shale,0.0,0.0,1.0,IE,MW,
ITCA,coal,coal,0.0,0.0,1.0,IT,MW,
ITCA,coal-ccs,coal,0.0,0.0,1.0,IT,MW,
ITCA,gas-ccgt,gas,3274.0,0.0,1.0,IT,MW,
ITCA,gas-ccgt-ccs,gas,0.0,0.0,1.0,IT,MW,
ITCA,gas-conv,gas,0.0,0.0,1.0,IT,MW,
ITCA,gas-ocgt,gas,222.919,0.0,1.0,IT,MW,
ITCA,lignite,lignite,0.0,0.0,1.0,IT,MW,
ITCA,lignite-ccs,lignite,0.0,0.0,1.0,IT,MW,
ITCA,nuclear,uranium,0.0,0.0,1.0,IT,MW,
ITCA,oil-heavy,oil-heavy,0.0,0.0,1.0,IT,MW,
ITCA,oil-light,oil-light,0.0,0.0,1.0,IT,MW,
ITCA,oil-shale,oil-shale,0.0,0.0,1.0,IT,MW,
ITCN,coal,coal,0.0,0.0,1.0,IT,MW,
ITCN,coal-ccs,coal,0.0,0.0,1.0,IT,MW,
ITCN,gas-ccgt,gas,935.1,0.0,1.0,IT,MW,
ITCN,gas-ccgt-ccs,gas,0.0,0.0,1.0,IT,MW,
ITCN,gas-conv,gas,0.0,0.0,1.0,IT,MW,
ITCN,gas-ocgt,gas,142.0,0.0,1.0,IT,MW,
ITCN,lignite,lignite,0.0,0.0,1.0,IT,MW,
ITCN,lignite-ccs,lignite,0.0,0.0,1.0,IT,MW,
ITCN,nuclear,uranium,0.0,0.0,1.0,IT,MW,
ITCN,oil-heavy,oil-heavy,0.0,0.0,1.0,IT,MW,
ITCN,oil-light,oil-light,0.0,0.0,1.0,IT,MW,
ITCN,oil-shale,oil-shale,0.0,0.0,1.0,IT,MW,
ITCS,coal,coal,0.0,0.0,1.0,IT,MW,
ITCS,coal-ccs,coal,0.0,0.0,1.0,IT,MW,
ITCS,gas-ccgt,gas,5246.1,0.0,1.0,IT,MW,
ITCS,gas-ccgt-ccs,gas,0.0,0.0,1.0,IT,MW,
ITCS,gas-conv,gas,22.917,0.0,1.0,IT,MW,
ITCS,gas-ocgt,gas,1842.8,0.0,1.0,IT,MW,
ITCS,lignite,lignite,0.0,0.0,1.0,IT,MW,
ITCS,lignite-ccs,lignite,0.0,0.0,1.0,IT,MW,
ITCS,nuclear,uranium,0.0,0.0,1.0,IT,MW,
ITCS,oil-heavy,oil-heavy,0.0,0.0,1.0,IT,MW,
ITCS,oil-light,oil-light,0.0,0.0,1.0,IT,MW,
ITCS,oil-shale,oil-shale,0.0,0.0,1.0,IT,MW,
ITN1,coal,coal,0.0,0.0,1.0,IT,MW,
ITN1,coal-ccs,coal,0.0,0.0,1.0,IT,MW,
ITN1,gas-ccgt,gas,23069.0,0.0,1.0,IT,MW,
ITN1,gas-ccgt-ccs,gas,0.0,0.0,1.0,IT,MW,
ITN1,gas-conv,gas,3260.463,0.0,1.0,IT,MW,
ITN1,gas-ocgt,gas,1057.0,0.0,1.0,IT,MW,
ITN1,lignite,lignite,0.0,0.0,1.0,IT,MW,
ITN1,lignite-ccs,lignite,0.0,0.0,1.0,IT,MW,
ITN1,nuclear,uranium,0.0,0.0,1.0,IT,MW,
ITN1,oil-heavy,oil-heavy,0.0,0.0,1.0,IT,MW,
ITN1,oil-light,oil-light,15.0,0.0,1.0,IT,MW,
ITN1,oil-shale,oil-shale,0.0,0.0,1.0,IT,MW,
ITS1,coal,coal,0.0,0.0,1.0,IT,MW,
ITS1,coal-ccs,coal,0.0,0.0,1.0,IT,MW,
ITS1,gas-ccgt,gas,3992.0,0.0,1.0,IT,MW,
ITS1,gas-ccgt-ccs,gas,0.0,0.0,1.0,IT,MW,
ITS1,gas-conv,gas,0.0,0.0,1.0,IT,MW,
ITS1,gas-ocgt,gas,411.307,0.0,1.0,IT,MW,
ITS1,lignite,lignite,0.0,0.0,1.0,IT,MW,
ITS1,lignite-ccs,lignite,0.0,0.0,1.0,IT,MW,
ITS1,nuclear,uranium,0.0,0.0,1.0,IT,MW,
ITS1,oil-heavy,oil-heavy,0.0,0.0,1.0,IT,MW,
ITS1,oil-light,oil-light,0.0,0.0,1.0,IT,MW,
ITS1,oil-shale,oil-shale,0.0,0.0,1.0,IT,MW,
ITSA,coal,coal,0.0,0.0,1.0,IT,MW,
ITSA,coal-ccs,coal,0.0,0.0,1.0,IT,MW,
ITSA,gas-ccgt,gas,0.0,0.0,1.0,IT,MW,
ITSA,gas-ccgt-ccs,gas,0.0,0.0,1.0,IT,MW,
ITSA,gas-conv,gas,0.0,0.0,1.0,IT,MW,
ITSA,gas-ocgt,gas,0.0,0.0,1.0,IT,MW,
ITSA,lignite,lignite,0.0,0.0,1.0,IT,MW,
ITSA,lignite-ccs,lignite,0.0,0.0,1.0,IT,MW,
ITSA,nuclear,uranium,0.0,0.0,1.0,IT,MW,
ITSA,oil-heavy,oil-heavy,0.0,0.0,1.0,IT,MW,
ITSA,oil-light,oil-light,0.0,0.0,1.0,IT,MW,
ITSA,oil-shale,oil-shale,0.0,0.0,1.0,IT,MW,
ITSI,coal,coal,0.0,0.0,1.0,IT,MW,
ITSI,coal-ccs,coal,0.0,0.0,1.0,IT,MW,
ITSI,gas-ccgt,gas,2112.104,0.0,1.0,IT,MW,
ITSI,gas-ccgt-ccs,gas,0.0,0.0,1.0,IT,MW,
ITSI,gas-conv,gas,0.0,0.0,1.0,IT,MW,
ITSI,gas-ocgt,gas,643.6600000000001,0.0,1.0,IT,MW,
ITSI,lignite,lignite,0.0,0.0,1.0,IT,MW,
ITSI,lignite-ccs,lignite,0.0,0.0,1.0,IT,MW,
ITSI,nuclear,uranium,0.0,0.0,1.0,IT,MW,
ITSI,oil-heavy,oil-heavy,0.0,0.0,1.0,IT,MW,
ITSI,oil-light,oil-light,0.0,0.0,1.0,IT,MW,
ITSI,oil-shale,oil-shale,0.0,0.0,1.0,IT,MW,
LT00,coal,coal,0.0,0.0,1.0,LT,MW,
LT00,coal-ccs,coal,0.0,0.0,1.0,LT,MW,
LT00,gas-ccgt,gas,913.0,0.0,1.0,LT,MW,
LT00,gas-ccgt-ccs,gas,0.0,0.0,1.0,LT,MW,
LT00,gas-conv,gas,110.0,0.0,1.0,LT,MW,
LT00,gas-ocgt,gas,0.0,0.0,1.0,LT,MW,
LT00,lignite,lignite,0.0,0.0,1.0,LT,MW,
LT00,lignite-ccs,lignite,0.0,0.0,1.0,LT,MW,
LT00,nuclear,uranium,0.0,0.0,1.0,LT,MW,
LT00,oil-heavy,oil-heavy,0.0,0.0,1.0,LT,MW,
LT00,oil-light,oil-light,0.0,0.0,1.0,LT,MW,
LT00,oil-shale,oil-shale,0.0,0.0,1.0,LT,MW,
LUB1,coal,coal,0.0,0.0,1.0,LU,MW,
LUB1,coal-ccs,coal,0.0,0.0,1.0,LU,MW,
LUB1,gas-ccgt,gas,0.0,0.0,1.0,LU,MW,
LUB1,gas-ccgt-ccs,gas,0.0,0.0,1.0,LU,MW,
LUB1,gas-conv,gas,0.0,0.0,1.0,LU,MW,
LUB1,gas-ocgt,gas,0.0,0.0,1.0,LU,MW,
LUB1,lignite,lignite,0.0,0.0,1.0,LU,MW,
LUB1,lignite-ccs,lignite,0.0,0.0,1.0,LU,MW,
LUB1,nuclear,uranium,0.0,0.0,1.0,LU,MW,
LUB1,oil-heavy,oil-heavy,0.0,0.0,1.0,LU,MW,
LUB1,oil-light,oil-light,0.0,0.0,1.0,LU,MW,
LUB1,oil-shale,oil-shale,0.0,0.0,1.0,LU,MW,
LUF1,coal,coal,0.0,0.0,1.0,LU,MW,
LUF1,coal-ccs,coal,0.0,0.0,1.0,LU,MW,
LUF1,gas-ccgt,gas,0.0,0.0,1.0,LU,MW,
LUF1,gas-ccgt-ccs,gas,0.0,0.0,1.0,LU,MW,
LUF1,gas-conv,gas,0.0,0.0,1.0,LU,MW,
LUF1,gas-ocgt,gas,0.0,0.0,1.0,LU,MW,
LUF1,lignite,lignite,0.0,0.0,1.0,LU,MW,
LUF1,lignite-ccs,lignite,0.0,0.0,1.0,LU,MW,
LUF1,nuclear,uranium,0.0,0.0,1.0,LU,MW,
LUF1,oil-heavy,oil-heavy,0.0,0.0,1.0,LU,MW,
LUF1,oil-light,oil-light,0.0,0.0,1.0,LU,MW,
LUF1,oil-shale,oil-shale,0.0,0.0,1.0,LU,MW,
LUG1,coal,coal,0.0,0.0,1.0,LU,MW,
LUG1,coal-ccs,coal,0.0,0.0,1.0,LU,MW,
LUG1,gas-ccgt,gas,0.0,0.0,1.0,LU,MW,
LUG1,gas-ccgt-ccs,gas,0.0,0.0,1.0,LU,MW,
LUG1,gas-conv,gas,0.0,0.0,1.0,LU,MW,
LUG1,gas-ocgt,gas,0.0,0.0,1.0,LU,MW,
LUG1,lignite,lignite,0.0,0.0,1.0,LU,MW,
LUG1,lignite-ccs,lignite,0.0,0.0,1.0,LU,MW,
LUG1,nuclear,uranium,0.0,0.0,1.0,LU,MW,
LUG1,oil-heavy,oil-heavy,0.0,0.0,1.0,LU,MW,
